transaction_id,vendor_id,transaction_date,transaction_type,amount,currency,account_id,account_name,description,status,invoice_number,reference_number,notes
TXN0015107,V00044,2024-10-26,Expense,504.89,USD,1018,Utilities,Transaction for V00044,Pending,INV841517,REF54786,
TXN0015108,V00391,2023-12-04,Invoice,2223.52,USD,1024,Professional Services,Transaction for V00391,Rejected,,,
TXN0015109,V00462,2023-03-23,Expense,21.17,USD,1022,Maintenance,Transaction for V00462,Hold,INV213169,,
TXN0015110,V00142,2025-07-04,Credit Memo,3247.34,USD,1009,Common Stock,Transaction for V00142,Pending,INV460706,,
TXN0015111,V00335,2024-10-11,Payment,239.14,USD,1014,Subscription Revenue,Transaction for V00335,Pending,INV708375,REF34268,
TXN0015112,V00226,2023-01-11,Refund,644.3,USD,1007,Long-term Debt,Transaction for V00226,Pending,INV741639,,
TXN0015113,V00145,2023-02-18,Credit Memo,1634.38,USD,1000,Cash,Transaction for V00145,Rejected,INV894495,REF29469,
TXN0015114,V00419,2025-04-19,Refund,696.34,USD,1031,Software Licenses,Transaction for V00419,Hold,,REF36994,
TXN0015115,V00419,2024-10-09,Expense,9372.58,USD,1013,Service Revenue,Transaction for V00419,Completed,INV335807,REF75782,
TXN0015116,V00223,2025-10-17,Payment,2603.47,USD,1018,Utilities,Transaction for V00223,Completed,INV116448,REF96300,
TXN0015117,V00141,2023-11-16,Refund,33.29,USD,1015,Consulting,Transaction for V00141,Pending,INV597777,REF50226,
TXN0015118,V00145,2024-05-15,Credit Memo,387.74,USD,1003,Equipment,Transaction for V00145,Hold,INV927589,REF98374,
TXN0015119,V00231,2024-09-07,Credit Memo,375.1,USD,1030,Research & Development,Transaction for V00231,Pending,INV388125,REF89107,
TXN0015120,V00176,2025-10-19,Refund,267.75,USD,1018,Utilities,Transaction for V00176,Pending,INV935971,REF76563,Data quality issue
TXN0015121,V00377,2024-09-03,Payment,1161.56,USD,1018,Utilities,Transaction for V00377,Rejected,,,
TXN0015122,V00321,2023-11-01,Expense,712.57,USD,1026,Vendor Payments,Transaction for V00321,Completed,INV605295,,
TXN0015123,V00447,2023-09-13,Expense,11.78,USD,1021,Marketing,Transaction for V00447,Pending,INV744491,REF74155,
TXN0015124,V00120,2025-06-25,Invoice,184.6,USD,1009,Common Stock,Transaction for V00120,Pending,INV219283,,
TXN0015125,V00383,2024-06-06,Credit Memo,624.38,USD,1009,Common Stock,Transaction for V00383,Hold,INV272325,REF72373,
TXN0015126,V00026,2023-11-14,Payment,161.71,USD,1007,Long-term Debt,Transaction for V00026,Pending,INV406892,REF24737,
TXN0015127,V00397,2025-02-12,Refund,648.12,USD,1007,Long-term Debt,Transaction for V00397,Pending,INV981068,REF42010,
TXN0015128,V00408,2025-09-19,Invoice,379.78,USD,1009,Common Stock,Transaction for V00408,Completed,INV534346,REF71847,
TXN0015129,V00531,2024-05-11,Payment,62.31,USD,1020,Travel,Transaction for V00531,Hold,INV761549,REF21299,
TXN0015130,V00047,2023-04-05,Payment,37.28,USD,1009,Common Stock,Transaction for V00047,Hold,,REF87019,
TXN0015131,V00305,2024-04-17,Invoice,274.76,USD,1018,Utilities,Transaction for V00305,Rejected,INV135385,,Data quality issue
TXN0015132,V00266,2025-07-27,Expense,634.08,USD,1030,Research & Development,Transaction for V00266,Completed,,REF60739,
TXN0015133,V00419,2023-07-26,Refund,20275.55,USD,1001,Accounts Receivable,Transaction for V00419,Rejected,INV107836,REF79369,
TXN0015134,V00496,2025-12-02,Refund,143.9,USD,1029,Shipping & Logistics,Transaction for V00496,Pending,INV197557,REF16549,
TXN0015135,V00383,2025-05-08,Invoice,57.3,USD,1004,Prepaid Expenses,Transaction for V00383,Rejected,INV999055,REF97134,
TXN0015136,V00179,2023-01-07,Payment,6235.88,USD,1026,Vendor Payments,Transaction for V00179,Completed,INV450729,,
TXN0015137,V00534,2023-07-03,Credit Memo,29.83,USD,1028,Benefits,Transaction for V00534,Hold,,,
TXN0015138,V00006,2024-04-13,Credit Memo,161.33,USD,1014,Subscription Revenue,Transaction for V00006,Completed,INV649025,REF99687,
TXN0015139,V00335,2024-09-16,Expense,2317.82,USD,1000,Cash,Transaction for V00335,Completed,INV616478,REF36674,
TXN0015140,V00360,2025-03-11,Expense,1687.32,USD,1008,Accrued Expenses,Transaction for V00360,Hold,,,
TXN0015141,V00504,2023-02-15,Refund,7.62,USD,1021,Marketing,Transaction for V00504,Hold,INV776672,REF48544,
TXN0015142,V00374,2024-03-25,Payment,352.98,USD,1018,Utilities,Transaction for V00374,Completed,INV634902,,
TXN0015143,V00294,2023-04-14,Refund,4903.67,USD,1005,Accounts Payable,Transaction for V00294,Pending,INV272906,REF80318,
TXN0015144,V00364,2023-08-21,Invoice,17108.33,USD,1023,Insurance,Transaction for V00364,Completed,INV968788,,
TXN0015145,V00142,2025-12-09,Credit Memo,296.88,USD,1010,Retained Earnings,Transaction for V00142,Completed,INV873652,REF12325,
TXN0015146,V00150,2025-02-09,Refund,29294.18,USD,1019,Office Supplies,Transaction for V00150,Pending,INV547185,REF34685,
TXN0015147,V00408,2023-06-29,Payment,1421.57,USD,1013,Service Revenue,Transaction for V00408,Pending,INV876311,REF25225,
TXN0015148,V00400,2024-12-26,Invoice,4665.79,USD,1014,Subscription Revenue,Transaction for V00400,Completed,,REF99408,
TXN0015149,V00447,2025-10-16,Payment,142.36,USD,1021,Marketing,Transaction for V00447,Completed,INV415477,,
TXN0015150,V00445,2023-09-10,Payment,593.97,USD,1022,Maintenance,Transaction for V00445,Hold,INV166967,,
TXN0015151,V00537,2024-06-20,Refund,122.02,USD,1030,Research & Development,Transaction for V00537,Rejected,INV722440,REF16812,
TXN0015152,V00055,2023-04-19,Refund,1.66,USD,1023,Insurance,Transaction for V00055,Completed,INV829471,,
TXN0015153,V00431,2025-08-08,Credit Memo,3575.3,USD,1004,Prepaid Expenses,Transaction for V00431,Pending,INV990208,REF28362,
TXN0015154,V00534,2025-04-27,Invoice,317.82,USD,1000,Cash,Transaction for V00534,Pending,INV835234,REF37015,
TXN0015155,V00164,2024-08-04,Credit Memo,4412.63,USD,1005,Accounts Payable,Transaction for V00164,Hold,INV765037,REF49527,
TXN0015156,V00444,2023-05-15,Expense,3800.48,USD,1026,Vendor Payments,Transaction for V00444,Rejected,INV233094,REF69999,
TXN0015157,V00548,2025-12-10,Credit Memo,2806.48,USD,1029,Shipping & Logistics,Transaction for V00548,Completed,,REF20590,
TXN0015158,V00442,2023-01-17,Expense,3341.9,USD,1001,Accounts Receivable,Transaction for V00442,Pending,INV398749,REF71826,
TXN0015159,V00235,2025-01-11,Expense,30.59,USD,1030,Research & Development,Transaction for V00235,Hold,INV621754,,Data quality issue
TXN0015160,V00219,2023-08-10,Credit Memo,2781.73,USD,1026,Vendor Payments,Transaction for V00219,Rejected,INV806693,REF62775,
TXN0015161,V00016,2025-11-14,Expense,1412.49,USD,1012,Product Sales,Transaction for V00016,Hold,INV697462,,
TXN0015162,V00150,2023-10-07,Invoice,309.43,USD,1030,Research & Development,Transaction for V00150,Pending,,,
TXN0015163,V00313,2023-06-25,Invoice,1634.25,USD,1024,Professional Services,Transaction for V00313,Pending,INV708052,,
TXN0015164,V00017,2024-05-03,Credit Memo,23767.1,USD,1029,Shipping & Logistics,Transaction for V00017,Rejected,INV207157,REF63166,
TXN0015165,V00121,2025-06-15,Payment,5239.71,USD,1004,Prepaid Expenses,Transaction for V00121,Completed,INV730295,REF83289,
TXN0015166,V00044,2024-10-18,Payment,1767.71,USD,1006,Short-term Debt,Transaction for V00044,Rejected,,REF77106,
TXN0015167,V00122,2025-06-29,Expense,407.97,USD,1022,Maintenance,Transaction for V00122,Completed,INV617208,REF87213,
TXN0015168,V00086,2023-01-20,Credit Memo,32.11,USD,1009,Common Stock,Transaction for V00086,Rejected,INV407351,REF81846,
TXN0015169,V00120,2025-09-21,Invoice,65.07,USD,1010,Retained Earnings,Transaction for V00120,Rejected,INV848568,,
TXN0015170,V00171,2025-06-10,Payment,284.11,USD,1024,Professional Services,Transaction for V00171,Hold,INV802108,REF44273,
TXN0015171,V00142,2024-03-31,Invoice,156.43,USD,1019,Office Supplies,Transaction for V00142,Hold,INV915998,REF84781,Data quality issue
TXN0015172,V00053,2024-12-27,Expense,535.97,USD,1011,Additional Paid-in Capital,Transaction for V00053,Rejected,INV784706,REF72812,
TXN0015173,V00262,2024-01-22,Payment,11.15,USD,1020,Travel,Transaction for V00262,Pending,INV744604,REF92630,
TXN0015174,V00095,2025-08-08,Refund,333.8,USD,1003,Equipment,Transaction for V00095,Rejected,,,
TXN0015175,V00141,2023-07-16,Payment,54.83,USD,1028,Benefits,Transaction for V00141,Pending,INV646613,REF72395,
TXN0015176,V00442,2023-08-03,Payment,70.97,USD,1026,Vendor Payments,Transaction for V00442,Hold,,,
TXN0015177,V00448,2023-04-28,Refund,65.95,USD,1009,Common Stock,Transaction for V00448,Hold,INV101657,REF91623,
TXN0015178,V00388,2025-04-11,Invoice,131.96,USD,1026,Vendor Payments,Transaction for V00388,Pending,INV482075,REF51116,
TXN0015179,V00138,2024-01-07,Credit Memo,4473.5,USD,1015,Consulting,Transaction for V00138,Rejected,INV856419,REF43952,
TXN0015180,V00053,2025-08-18,Refund,522.46,USD,1029,Shipping & Logistics,Transaction for V00053,Rejected,INV185895,REF74566,Data quality issue
TXN0015181,V00390,2023-05-18,Expense,8.33,USD,1013,Service Revenue,Transaction for V00390,Rejected,INV401495,,
TXN0015182,V00142,2024-10-27,Refund,19905.73,USD,1018,Utilities,Transaction for V00142,Completed,,REF26233,
TXN0015183,V00368,2024-03-27,Invoice,246.81,USD,1003,Equipment,Transaction for V00368,Rejected,INV658940,,
TXN0015184,V00095,2025-11-11,Payment,616.64,USD,1000,Cash,Transaction for V00095,Completed,INV380077,REF93683,Data quality issue
TXN0015185,V00280,2025-07-13,Expense,1638.7,USD,1028,Benefits,Transaction for V00280,Hold,INV992645,REF43005,
TXN0015186,V00059,2025-03-27,Refund,109.27,USD,1010,Retained Earnings,Transaction for V00059,Completed,INV359485,REF43722,
TXN0015187,V00053,2023-05-22,Credit Memo,16.98,USD,1006,Short-term Debt,Transaction for V00053,Pending,INV671540,REF33627,
TXN0015188,V00200,2024-11-09,Credit Memo,110.49,USD,1004,Prepaid Expenses,Transaction for V00200,Hold,INV353425,REF19061,
TXN0015189,V00369,2025-11-30,Invoice,7970.38,USD,1008,Accrued Expenses,Transaction for V00369,Completed,INV955092,REF78922,
TXN0015190,V00426,2023-03-27,Invoice,37.22,USD,1026,Vendor Payments,Transaction for V00426,Rejected,,REF34001,
TXN0015191,V00141,2023-01-30,Invoice,4230.32,USD,1002,Inventory,Transaction for V00141,Rejected,INV677118,REF43188,
TXN0015192,V00245,2023-12-01,Refund,2255.52,USD,1026,Vendor Payments,Transaction for V00245,Completed,INV528362,,Data quality issue
TXN0015193,V00280,2023-10-02,Payment,11951.96,USD,1013,Service Revenue,Transaction for V00280,Hold,,REF52360,
TXN0015194,V00335,2023-12-03,Expense,6558.14,USD,1019,Office Supplies,Transaction for V00335,Hold,INV126015,REF99856,
TXN0015195,V00394,2024-03-15,Refund,4742.9,USD,1009,Common Stock,Transaction for V00394,Rejected,INV741403,REF49513,
TXN0015196,V00313,2025-10-14,Payment,1413.71,USD,1012,Product Sales,Transaction for V00313,Completed,INV259733,REF81109,Data quality issue
TXN0015197,V00531,2023-12-16,Payment,22.74,USD,1017,Rent,Transaction for V00531,Rejected,INV586200,REF95832,
TXN0015198,V00017,2025-05-25,Expense,17.53,USD,1018,Utilities,Transaction for V00017,Rejected,INV717697,,
TXN0015199,V00514,2023-01-08,Credit Memo,1802.4,USD,1017,Rent,Transaction for V00514,Pending,INV403698,REF86217,
TXN0015200,V00010,2023-06-20,Expense,78.8,USD,1018,Utilities,Transaction for V00010,Completed,INV999790,REF85532,
TXN0015201,V00282,2025-11-03,Refund,1803.87,USD,1001,Accounts Receivable,Transaction for V00282,Hold,INV887857,REF88886,
TXN0015202,V00113,2025-06-24,Refund,120.52,USD,1023,Insurance,Transaction for V00113,Hold,INV876273,REF10309,
TXN0015203,V00127,2025-02-15,Invoice,7867.8,USD,1013,Service Revenue,Transaction for V00127,Completed,INV831239,REF53032,
TXN0015204,V00426,2024-07-22,Invoice,1589.82,USD,1011,Additional Paid-in Capital,Transaction for V00426,Pending,INV736773,REF99301,
TXN0015205,V00425,2024-08-05,Expense,358.44,USD,1002,Inventory,Transaction for V00425,Hold,INV672440,REF89473,
TXN0015206,V00383,2024-05-11,Credit Memo,72.65,USD,1014,Subscription Revenue,Transaction for V00383,Hold,INV740604,REF90040,
TXN0015207,V00399,2023-12-19,Refund,1608.61,USD,1015,Consulting,Transaction for V00399,Completed,INV802032,REF93629,
TXN0015208,V00032,2024-09-12,Credit Memo,175.92,USD,1015,Consulting,Transaction for V00032,Completed,INV389740,REF29958,
TXN0015209,V00393,2024-04-30,Refund,243.23,USD,1005,Accounts Payable,Transaction for V00393,Rejected,INV516491,REF95109,
TXN0015210,V00444,2024-08-08,Payment,74.37,USD,1027,Payroll Tax,Transaction for V00444,Pending,INV790057,REF58177,
TXN0015211,V00279,2024-12-26,Refund,238.18,USD,1016,Salaries & Wages,Transaction for V00279,Completed,,,
TXN0015212,V00522,2024-12-28,Credit Memo,179.61,USD,1006,Short-term Debt,Transaction for V00522,Hold,INV359669,,
TXN0015213,V00153,2025-04-06,Invoice,1855.53,USD,1028,Benefits,Transaction for V00153,Hold,,REF43377,
TXN0015214,V00218,2025-12-16,Expense,9885.01,USD,1030,Research & Development,Transaction for V00218,Completed,INV992091,REF19272,
TXN0015215,V00055,2023-07-05,Payment,47.08,USD,1028,Benefits,Transaction for V00055,Pending,INV272411,,
TXN0015216,V00534,2024-01-14,Payment,1507.94,USD,1025,Depreciation,Transaction for V00534,Completed,INV533053,REF78979,
TXN0015217,V00499,2023-12-03,Expense,103.85,USD,1029,Shipping & Logistics,Transaction for V00499,Completed,INV156970,,
TXN0015218,V00225,2024-03-31,Credit Memo,375.15,USD,1003,Equipment,Transaction for V00225,Completed,INV299777,REF67230,
TXN0015219,V00218,2023-08-18,Invoice,41091.74,USD,1015,Consulting,Transaction for V00218,Hold,INV930594,REF57625,
TXN0015220,V00028,2024-07-05,Expense,3224.98,USD,1001,Accounts Receivable,Transaction for V00028,Pending,INV587481,,
TXN0015221,V00254,2025-04-27,Expense,233.79,USD,1024,Professional Services,Transaction for V00254,Pending,INV118591,REF24442,
TXN0015222,V00135,2024-02-06,Refund,9.9,USD,1019,Office Supplies,Transaction for V00135,Pending,INV186524,REF90806,
TXN0015223,V00043,2024-09-23,Refund,16.79,USD,1013,Service Revenue,Transaction for V00043,Completed,,REF82609,
TXN0015224,V00381,2024-10-28,Expense,50.11,USD,1001,Accounts Receivable,Transaction for V00381,Rejected,,,
TXN0015225,V00381,2025-01-21,Refund,4013.88,USD,1008,Accrued Expenses,Transaction for V00381,Rejected,INV944728,,
TXN0015226,V00010,2025-07-11,Payment,17838.84,USD,1024,Professional Services,Transaction for V00010,Pending,INV655707,REF60861,
TXN0015227,V00534,2023-12-18,Expense,214.29,USD,1024,Professional Services,Transaction for V00534,Rejected,INV760247,,Data quality issue
TXN0015228,V00192,2025-03-26,Expense,35848.8,USD,1003,Equipment,Transaction for V00192,Rejected,INV306464,REF85820,
TXN0015229,V00508,2025-07-27,Payment,483.95,USD,1009,Common Stock,Transaction for V00508,Completed,INV932458,REF22533,
TXN0015230,V00112,2024-05-26,Invoice,3261.54,USD,1029,Shipping & Logistics,Transaction for V00112,Pending,INV888060,,
TXN0015231,V00393,2024-07-28,Invoice,177.32,USD,1004,Prepaid Expenses,Transaction for V00393,Completed,INV459656,,
TXN0015232,V00227,2025-02-24,Refund,269.37,USD,1030,Research & Development,Transaction for V00227,Hold,INV957027,REF48571,Data quality issue
TXN0015233,V00369,2024-08-28,Expense,857.67,USD,1000,Cash,Transaction for V00369,Rejected,,,
TXN0015234,V00262,2023-03-17,Credit Memo,1715.97,USD,1006,Short-term Debt,Transaction for V00262,Completed,INV552797,REF89622,Data quality issue
TXN0015235,V00016,2025-10-01,Payment,74.33,USD,1015,Consulting,Transaction for V00016,Rejected,INV988265,REF31557,Data quality issue
TXN0015236,V00444,2023-01-24,Expense,6572.82,USD,1017,Rent,Transaction for V00444,Completed,INV147644,,
TXN0015237,V00419,2024-04-17,Expense,564.47,USD,1004,Prepaid Expenses,Transaction for V00419,Pending,,REF29129,
TXN0015238,V00122,2023-01-16,Credit Memo,254.5,USD,1025,Depreciation,Transaction for V00122,Hold,INV102433,REF91632,
TXN0015239,V00468,2023-12-22,Invoice,1663.73,USD,1025,Depreciation,Transaction for V00468,Hold,INV858927,REF69158,
TXN0015240,V00447,2025-02-01,Payment,51.79,USD,1028,Benefits,Transaction for V00447,Rejected,INV129184,REF56208,
TXN0015241,V00296,2023-09-16,Expense,382.78,USD,1006,Short-term Debt,Transaction for V00296,Rejected,INV607494,REF34398,
TXN0015242,V00032,2024-12-16,Refund,249.29,USD,1011,Additional Paid-in Capital,Transaction for V00032,Rejected,INV807073,REF14923,
TXN0015243,V00106,2025-01-16,Payment,1420.18,USD,1000,Cash,Transaction for V00106,Hold,INV639634,REF78226,
TXN0015244,V00388,2025-09-04,Payment,524.87,USD,1006,Short-term Debt,Transaction for V00388,Completed,,,
TXN0015245,V00447,2025-06-29,Payment,426.3,USD,1018,Utilities,Transaction for V00447,Rejected,INV437836,REF92950,
TXN0015246,V00439,2024-03-22,Credit Memo,22907.85,USD,1027,Payroll Tax,Transaction for V00439,Pending,INV626537,REF11469,
TXN0015247,V00377,2023-06-05,Credit Memo,307.2,USD,1011,Additional Paid-in Capital,Transaction for V00377,Pending,INV532565,,
TXN0015248,V00058,2024-03-01,Payment,1798.61,USD,1031,Software Licenses,Transaction for V00058,Rejected,INV449504,,
TXN0015249,V00278,2023-04-20,Refund,93086.53,USD,1010,Retained Earnings,Transaction for V00278,Completed,,REF14889,
TXN0015250,V00313,2024-06-07,Payment,1007.76,USD,1015,Consulting,Transaction for V00313,Pending,INV426029,REF26249,
TXN0015251,V00113,2025-07-13,Payment,24937.25,USD,1009,Common Stock,Transaction for V00113,Completed,INV679047,REF42289,
TXN0015252,V00393,2025-11-15,Refund,305.91,USD,1018,Utilities,Transaction for V00393,Hold,INV920036,REF61626,
TXN0015253,V00442,2024-12-06,Invoice,4980.9,USD,1012,Product Sales,Transaction for V00442,Completed,INV749643,,
TXN0015254,V00426,2024-10-30,Refund,867.38,USD,1012,Product Sales,Transaction for V00426,Completed,INV864190,REF18805,
TXN0015255,V00142,2025-08-08,Payment,63.93,USD,1029,Shipping & Logistics,Transaction for V00142,Hold,INV584500,REF87617,Data quality issue
TXN0015256,V00237,2024-04-10,Payment,89.18,USD,1001,Accounts Receivable,Transaction for V00237,Hold,INV231172,REF68173,
TXN0015257,V00120,2025-06-01,Refund,63.35,USD,1031,Software Licenses,Transaction for V00120,Pending,,REF81148,
TXN0015258,V00427,2024-02-28,Expense,815.5,USD,1019,Office Supplies,Transaction for V00427,Pending,INV619266,,
TXN0015259,V00120,2025-06-01,Expense,80.37,USD,1026,Vendor Payments,Transaction for V00120,Completed,INV821118,REF16354,
TXN0015260,V00547,2025-02-15,Expense,854.68,USD,1024,Professional Services,Transaction for V00547,Completed,INV287356,REF21770,
TXN0015261,V00145,2025-11-14,Expense,370.61,USD,1006,Short-term Debt,Transaction for V00145,Pending,INV559751,REF81277,
TXN0015262,V00045,2024-08-03,Invoice,10683.82,USD,1011,Additional Paid-in Capital,Transaction for V00045,Pending,,REF93217,Data quality issue
TXN0015263,V00416,2025-12-15,Payment,142.23,USD,1019,Office Supplies,Transaction for V00416,Hold,INV108110,,
TXN0015264,V00087,2023-05-03,Credit Memo,787.88,USD,1029,Shipping & Logistics,Transaction for V00087,Rejected,,,
TXN0015265,V00497,2023-08-14,Invoice,280.19,USD,1026,Vendor Payments,Transaction for V00497,Pending,INV857383,,Data quality issue
TXN0015266,V00313,2025-12-02,Refund,878.61,USD,1013,Service Revenue,Transaction for V00313,Rejected,INV497172,REF86935,
TXN0015267,V00349,2024-07-04,Payment,8749.38,USD,1028,Benefits,Transaction for V00349,Pending,INV635697,,
TXN0015268,V00127,2024-04-30,Payment,57.41,USD,1023,Insurance,Transaction for V00127,Rejected,INV830012,REF47028,
TXN0015269,V00416,2025-09-13,Invoice,24.27,USD,1022,Maintenance,Transaction for V00416,Rejected,INV866812,REF45421,
TXN0015270,V00087,2023-11-12,Credit Memo,419.44,USD,1021,Marketing,Transaction for V00087,Hold,,,
TXN0015271,V00278,2025-08-18,Expense,389.14,USD,1021,Marketing,Transaction for V00278,Pending,INV992860,REF47383,Data quality issue
TXN0015272,V00043,2025-08-13,Expense,153.07,USD,1025,Depreciation,Transaction for V00043,Rejected,INV138772,REF91781,
TXN0015273,V00425,2024-04-21,Credit Memo,197.04,USD,1031,Software Licenses,Transaction for V00425,Rejected,INV135260,,
TXN0015274,V00544,2024-11-13,Expense,40200.41,USD,1028,Benefits,Transaction for V00544,Pending,INV782988,REF81669,
TXN0015275,V00524,2023-12-10,Expense,1421.96,USD,1018,Utilities,Transaction for V00524,Rejected,INV848247,REF63818,
TXN0015276,V00231,2024-12-28,Expense,520.64,USD,1004,Prepaid Expenses,Transaction for V00231,Pending,INV716194,REF29644,
TXN0015277,V00422,2023-08-10,Payment,3274.86,USD,1020,Travel,Transaction for V00422,Rejected,INV883499,REF19964,
TXN0015278,V00179,2024-11-25,Credit Memo,3093.19,USD,1016,Salaries & Wages,Transaction for V00179,Rejected,INV251907,REF67073,
TXN0015279,V00127,2023-02-04,Credit Memo,710.7,USD,1028,Benefits,Transaction for V00127,Hold,,REF33610,
TXN0015280,V00171,2024-01-15,Payment,8992.05,USD,1020,Travel,Transaction for V00171,Pending,INV633543,REF76346,
TXN0015281,V00514,2025-03-31,Credit Memo,738.84,USD,1001,Accounts Receivable,Transaction for V00514,Completed,INV786209,REF97115,
TXN0015282,V00383,2025-09-29,Credit Memo,84.56,USD,1010,Retained Earnings,Transaction for V00383,Rejected,INV365660,REF58552,
TXN0015283,V00534,2024-07-29,Payment,52.78,USD,1003,Equipment,Transaction for V00534,Pending,INV928305,REF30181,
TXN0015284,V00231,2023-12-26,Credit Memo,9346.7,USD,1025,Depreciation,Transaction for V00231,Completed,,,
TXN0015285,V00383,2024-11-22,Refund,3123.26,USD,1004,Prepaid Expenses,Transaction for V00383,Hold,INV748573,REF57083,
TXN0015286,V00302,2024-10-29,Refund,69.78,USD,1026,Vendor Payments,Transaction for V00302,Completed,,REF82547,
TXN0015287,V00258,2025-04-21,Invoice,1338.45,USD,1023,Insurance,Transaction for V00258,Completed,,REF99962,
TXN0015288,V00120,2023-08-28,Credit Memo,117.02,USD,1012,Product Sales,Transaction for V00120,Pending,INV825578,,
TXN0015289,V00284,2024-09-27,Invoice,13905.88,USD,1028,Benefits,Transaction for V00284,Pending,INV205129,REF20488,Data quality issue
TXN0015290,V00177,2023-05-11,Invoice,253.4,USD,1002,Inventory,Transaction for V00177,Rejected,INV961123,REF73419,
TXN0015291,V00043,2023-02-22,Invoice,363.81,USD,1016,Salaries & Wages,Transaction for V00043,Pending,INV579623,,
TXN0015292,V00442,2025-08-10,Invoice,563.09,USD,1019,Office Supplies,Transaction for V00442,Rejected,,REF83436,
TXN0015293,V00113,2025-04-09,Refund,1031.86,USD,1025,Depreciation,Transaction for V00113,Hold,INV250788,REF18622,
TXN0015294,V00388,2023-12-29,Payment,64.95,USD,1031,Software Licenses,Transaction for V00388,Hold,,,
TXN0015295,V00145,2023-11-04,Invoice,3384.49,USD,1001,Accounts Receivable,Transaction for V00145,Completed,INV657931,,
TXN0015296,V00377,2024-04-16,Invoice,164.7,USD,1017,Rent,Transaction for V00377,Hold,INV177804,REF38031,
TXN0015297,V00396,2023-02-10,Credit Memo,13303.19,USD,1011,Additional Paid-in Capital,Transaction for V00396,Rejected,INV972875,REF40147,
TXN0015298,V00053,2024-06-14,Invoice,49.37,USD,1023,Insurance,Transaction for V00053,Completed,INV269879,,
TXN0015299,V00534,2023-04-26,Refund,322.66,USD,1009,Common Stock,Transaction for V00534,Pending,,REF85217,
TXN0015300,V00388,2024-09-13,Expense,157.46,USD,1021,Marketing,Transaction for V00388,Rejected,INV208970,REF45527,
TXN0015301,V00245,2024-04-29,Refund,471.57,USD,1001,Accounts Receivable,Transaction for V00245,Pending,INV416286,REF13127,
TXN0015302,V00017,2023-09-16,Refund,8094.68,USD,1000,Cash,Transaction for V00017,Rejected,INV487494,,
TXN0015303,V00059,2023-02-25,Invoice,208.81,USD,1013,Service Revenue,Transaction for V00059,Rejected,INV307545,,
TXN0015304,V00524,2023-09-11,Expense,118.65,USD,1008,Accrued Expenses,Transaction for V00524,Pending,,REF33622,
TXN0015305,V00507,2024-07-19,Invoice,206.84,USD,1028,Benefits,Transaction for V00507,Hold,INV981036,REF48187,
TXN0015306,V00335,2025-08-14,Invoice,152.05,USD,1015,Consulting,Transaction for V00335,Hold,INV841636,REF44973,
TXN0015307,V00422,2025-06-13,Refund,86.43,USD,1031,Software Licenses,Transaction for V00422,Completed,INV849838,REF52512,
TXN0015308,V00439,2023-09-06,Payment,9.45,USD,1006,Short-term Debt,Transaction for V00439,Hold,INV270359,REF49172,
TXN0015309,V00310,2024-10-09,Invoice,20168.7,USD,1018,Utilities,Transaction for V00310,Rejected,INV557518,REF44946,Data quality issue
TXN0015310,V00153,2023-12-21,Credit Memo,238.33,USD,1030,Research & Development,Transaction for V00153,Hold,INV599063,REF70039,
TXN0015311,V00435,2024-07-06,Expense,87.21,USD,1002,Inventory,Transaction for V00435,Rejected,INV718487,REF43258,
TXN0015312,V00153,2025-05-13,Invoice,92.07,USD,1028,Benefits,Transaction for V00153,Completed,INV341667,REF91947,
TXN0015313,V00144,2023-10-27,Expense,18.19,USD,1014,Subscription Revenue,Transaction for V00144,Rejected,INV866789,REF53322,
TXN0015314,V00113,2025-01-14,Refund,5894.25,USD,1030,Research & Development,Transaction for V00113,Rejected,,REF77564,
TXN0015315,V00150,2023-12-31,Credit Memo,797.1,USD,1010,Retained Earnings,Transaction for V00150,Rejected,INV358622,REF87129,Data quality issue
TXN0015316,V00086,2023-05-27,Refund,235.66,USD,1006,Short-term Debt,Transaction for V00086,Completed,INV238113,REF48982,
TXN0015317,V00323,2024-06-07,Refund,119.97,USD,1026,Vendor Payments,Transaction for V00323,Hold,INV796842,,
TXN0015318,V00272,2024-02-05,Payment,64.94,USD,1018,Utilities,Transaction for V00272,Completed,INV964764,REF98241,
TXN0015319,V00541,2024-01-27,Expense,1019.47,USD,1025,Depreciation,Transaction for V00541,Pending,,REF36508,
TXN0015320,V00338,2024-05-09,Expense,34.35,USD,1027,Payroll Tax,Transaction for V00338,Hold,INV589516,REF98921,
TXN0015321,V00364,2025-10-08,Payment,48.39,USD,1012,Product Sales,Transaction for V00364,Hold,INV601331,REF45487,
TXN0015322,V00534,2023-02-07,Expense,7762.16,USD,1000,Cash,Transaction for V00534,Completed,INV350697,REF27609,
TXN0015323,V00210,2025-06-29,Expense,6220.26,USD,1029,Shipping & Logistics,Transaction for V00210,Rejected,,REF67805,
TXN0015324,V00231,2023-10-10,Credit Memo,15.14,USD,1025,Depreciation,Transaction for V00231,Hold,INV826799,REF47492,
TXN0015325,V00504,2025-09-11,Credit Memo,2327.5,USD,1013,Service Revenue,Transaction for V00504,Completed,INV191461,REF21217,
TXN0015326,V00294,2025-11-24,Invoice,56.4,USD,1022,Maintenance,Transaction for V00294,Rejected,INV765028,REF36772,
TXN0015327,V00360,2025-02-19,Credit Memo,3606.22,USD,1031,Software Licenses,Transaction for V00360,Completed,INV878228,REF22878,
